,3304557,3106200,3509502,3550308,3502507,3503158,3503505,3504909,3508504,3508603,3509700,3509957,3510500,3513405,3513603,3518404,3520202,3520400,3524402,3524907,3526308,3526605,3527207,3531704,3532306,3535606,3538006,3538501,3540754,3541901,3542305,3544301,3546009,3548203,3548609,3549607,3549904,3550001,3550704,3552007,3554102,3554805,3555406
3304557,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0
3106200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
3509502,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,74,0,0,0,11,0,0
3550308,0,0,0,0,38,0,0,0,85,20,23,1,176,10,0,29,35,8,460,2,3,9,63,0,0,21,57,4,0,0,0,4,38,1,2,0,1174,0,47,0,198,48,35
3502507,0,0,0,38,0,0,0,0,10,9,0,0,0,20,0,1116,9,0,0,0,8,0,136,0,0,0,84,33,3030,0,0,548,2,0,0,0,72,0,0,8,80,16,19
3503158,6,0,0,0,0,0,0,86,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
3503505,0,0,0,0,0,0,0,2,4,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,18,0,0,0,0,0,7,0,0,0,2,0,0,0
3504909,0,0,0,0,0,86,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
3508504,0,0,12,85,10,0,4,0,0,0,27,0,6,6,0,26,0,0,203,37,0,0,34,10,10,1,116,4,0,0,0,6,8,0,0,0,2420,1,0,0,1253,94,0
3508603,0,0,8,20,9,0,0,0,0,0,10,111,0,240,0,104,0,0,0,0,0,0,364,0,0,0,7,55,3,9,0,15,0,0,0,0,49,0,0,41,13,0,0
3509700,0,0,0,23,0,0,0,0,27,10,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,134,0,0,0,0,5,4,140,70,0,37,3,0,4,165,29,0
